school,sex,address,Medu,Fedu,Mjob,reason,traveltime,studytime,failures,higher,internet,Dalc,Walc,absences
0,0,1,4,4,4,0,1,2,0,1,1,3,3,0
0,1,1,4,4,2,0,1,3,0,1,1,2,2,0
0,0,1,2,2,0,0,1,2,1,1,1,1,1,16
0,1,1,1,1,3,0,1,2,2,1,0,1,3,0
0,0,1,2,2,0,0,1,2,0,1,0,1,2,6
1,0,1,4,4,4,0,2,3,0,1,1,1,4,1
1,0,0,3,2,0,0,1,2,1,1,0,1,2,0
0,0,1,4,3,4,0,3,2,0,1,1,1,2,2
0,0,1,1,1,0,0,1,2,0,1,1,1,1,0
0,0,1,2,2,2,0,2,2,1,1,1,2,2,14
0,1,1,4,2,1,2,1,1,0,1,1,2,4,0
0,1,1,2,3,2,0,1,1,0,1,1,1,3,0
1,0,0,0,2,2,2,2,1,0,1,0,1,2,0
0,1,1,4,2,4,0,1,1,0,1,1,1,1,10
0,0,1,2,3,3,0,1,2,0,1,1,1,1,6
1,1,0,2,1,2,3,2,2,0,1,1,1,1,0
1,0,0,1,1,2,3,3,1,1,1,1,1,2,0
0,1,1,4,4,1,3,1,3,0,1,1,1,2,2
0,1,1,3,2,3,1,1,2,0,1,1,1,1,0
0,1,1,3,1,2,3,1,1,0,1,0,2,2,0
0,1,0,4,3,4,0,1,3,0,1,1,1,2,4
0,1,0,1,3,2,0,3,2,1,1,1,1,4,14
0,1,1,1,2,0,2,2,2,0,1,1,4,5,16
